idx,rtl_i,py_i,err_i,rtl_q,py_q,err_q
176,20,20,0,-5,-5,0
177,20,20,0,-6,-5,-1
178,21,20,1,-6,-6,0
179,20,21,-1,-6,-6,0
180,20,20,0,-5,-6,1
181,20,20,0,-5,-5,0
182,20,20,0,-6,-5,-1
183,21,20,1,-6,-6,0
184,20,21,-1,-6,-6,0
185,20,20,0,-5,-6,1
186,20,20,0,-5,-5,0
187,20,20,0,-6,-5,-1
188,21,20,1,-6,-6,0
189,20,21,-1,-6,-6,0
190,20,20,0,-5,-6,1
191,20,20,0,-5,-5,0
192,20,20,0,-6,-5,-1
193,21,20,1,-6,-6,0
194,20,21,-1,-6,-6,0
195,20,20,0,-5,-6,1
196,20,20,0,-5,-5,0
197,20,20,0,-6,-5,-1
198,21,20,1,-6,-6,0
199,20,21,-1,-6,-6,0
200,20,20,0,-5,-6,1
201,20,20,0,-5,-5,0
202,20,20,0,-6,-5,-1
203,21,20,1,-6,-6,0
204,20,21,-1,-6,-6,0
205,20,20,0,-5,-6,1
206,20,20,0,-5,-5,0
207,20,20,0,-6,-5,-1
208,21,20,1,-6,-6,0
209,20,21,-1,-6,-6,0
210,20,20,0,-5,-6,1
211,20,20,0,-5,-5,0
212,20,20,0,-6,-5,-1
213,21,20,1,-6,-6,0
214,20,21,-1,-6,-6,0
215,20,20,0,-5,-6,1
216,20,20,0,-5,-5,0
217,20,20,0,-6,-5,-1
218,21,20,1,-6,-6,0
219,20,21,-1,-6,-6,0
220,20,20,0,-5,-6,1
221,20,20,0,-5,-5,0
222,20,20,0,-6,-5,-1
223,21,20,1,-6,-6,0
224,20,21,-1,-6,-6,0
225,20,20,0,-5,-6,1
226,20,20,0,-5,-5,0
227,20,20,0,-6,-5,-1
228,21,20,1,-6,-6,0
229,20,21,-1,-6,-6,0
230,20,20,0,-5,-6,1
231,20,20,0,-5,-5,0
232,20,20,0,-6,-5,-1
233,21,20,1,-6,-6,0
234,20,21,-1,-6,-6,0
235,20,20,0,-5,-6,1
236,20,20,0,-5,-5,0
237,20,20,0,-6,-5,-1
238,21,20,1,-6,-6,0
239,20,21,-1,-6,-6,0
240,20,20,0,-5,-6,1
241,20,20,0,-5,-5,0
242,20,20,0,-6,-5,-1
243,21,20,1,-6,-6,0
244,20,21,-1,-6,-6,0
245,20,20,0,-5,-6,1
246,20,20,0,-5,-5,0
247,20,20,0,-6,-5,-1
248,21,20,1,-6,-6,0
249,20,21,-1,-6,-6,0
250,20,20,0,-5,-6,1
251,20,20,0,-5,-5,0
252,20,20,0,-6,-5,-1
253,21,20,1,-6,-6,0
254,20,21,-1,-6,-6,0
255,20,20,0,-5,-6,1
256,20,20,0,-5,-5,0
257,20,20,0,-6,-5,-1
258,21,20,1,-6,-6,0
259,20,21,-1,-6,-6,0
260,20,20,0,-5,-6,1
261,20,20,0,-5,-5,0
262,20,20,0,-6,-5,-1
263,21,20,1,-6,-6,0
264,20,21,-1,-6,-6,0
265,20,20,0,-5,-6,1
266,20,20,0,-5,-5,0
267,20,20,0,-6,-5,-1
268,21,20,1,-6,-6,0
269,20,21,-1,-6,-6,0
270,20,20,0,-5,-6,1
271,20,20,0,-5,-5,0
272,20,20,0,-6,-5,-1
273,21,20,1,-6,-6,0
274,20,21,-1,-6,-6,0
275,20,20,0,-5,-6,1
276,20,20,0,-5,-5,0
277,20,20,0,-6,-5,-1
278,21,20,1,-6,-6,0
279,20,21,-1,-6,-6,0
280,20,20,0,-5,-6,1
281,20,20,0,-5,-5,0
282,20,20,0,-6,-5,-1
283,21,20,1,-6,-6,0
284,20,21,-1,-6,-6,0
285,20,20,0,-5,-6,1
286,20,20,0,-5,-5,0
287,20,20,0,-6,-5,-1
288,21,20,1,-6,-6,0
289,20,21,-1,-6,-6,0
290,20,20,0,-5,-6,1
291,20,20,0,-5,-5,0
292,20,20,0,-6,-5,-1
293,21,20,1,-6,-6,0
294,20,21,-1,-6,-6,0
295,20,20,0,-5,-6,1
296,20,20,0,-5,-5,0
297,20,20,0,-6,-5,-1
298,21,20,1,-6,-6,0
299,20,21,-1,-6,-6,0
300,20,20,0,-5,-6,1
301,20,20,0,-5,-5,0
302,20,20,0,-6,-5,-1
303,21,20,1,-6,-6,0
304,20,21,-1,-6,-6,0
305,20,20,0,-5,-6,1
306,20,20,0,-5,-5,0
307,20,20,0,-6,-5,-1
308,21,20,1,-6,-6,0
309,20,21,-1,-6,-6,0
310,20,20,0,-5,-6,1
311,20,20,0,-5,-5,0
312,20,20,0,-6,-5,-1
313,21,20,1,-6,-6,0
314,20,21,-1,-6,-6,0
315,20,20,0,-5,-6,1
316,20,20,0,-5,-5,0
317,20,20,0,-6,-5,-1
318,21,20,1,-6,-6,0
319,20,21,-1,-6,-6,0
320,20,20,0,-5,-6,1
321,20,20,0,-5,-5,0
322,20,20,0,-6,-5,-1
323,21,20,1,-6,-6,0
324,20,21,-1,-6,-6,0
325,20,20,0,-5,-6,1
326,20,20,0,-5,-5,0
327,20,20,0,-6,-5,-1
328,21,20,1,-6,-6,0
329,20,21,-1,-6,-6,0
330,20,20,0,-5,-6,1
331,20,20,0,-5,-5,0
332,20,20,0,-6,-5,-1
333,21,20,1,-6,-6,0
334,20,21,-1,-6,-6,0
335,20,20,0,-5,-6,1
336,20,20,0,-5,-5,0
337,20,20,0,-6,-5,-1
338,21,20,1,-6,-6,0
339,20,21,-1,-6,-6,0
340,20,20,0,-5,-6,1
341,20,20,0,-5,-5,0
342,20,20,0,-6,-5,-1
343,21,20,1,-6,-6,0
344,20,21,-1,-6,-6,0
345,20,20,0,-5,-6,1
346,20,20,0,-5,-5,0
347,20,20,0,-6,-5,-1
348,21,20,1,-6,-6,0
349,20,21,-1,-6,-6,0
350,20,20,0,-5,-6,1
351,20,20,0,-5,-5,0
352,20,20,0,-6,-5,-1
353,21,20,1,-6,-6,0
354,20,21,-1,-6,-6,0
355,20,20,0,-5,-6,1
356,20,20,0,-5,-5,0
357,20,20,0,-6,-5,-1
358,21,20,1,-6,-6,0
359,20,21,-1,-6,-6,0
360,20,20,0,-5,-6,1
361,20,20,0,-5,-5,0
362,20,20,0,-6,-5,-1
363,21,20,1,-6,-6,0
364,20,21,-1,-6,-6,0
365,20,20,0,-5,-6,1
366,20,20,0,-5,-5,0
367,20,20,0,-6,-5,-1
368,21,20,1,-6,-6,0
369,20,21,-1,-6,-6,0
370,20,20,0,-5,-6,1
371,20,20,0,-5,-5,0
372,20,20,0,-6,-5,-1
373,21,20,1,-6,-6,0
374,20,21,-1,-6,-6,0
375,20,20,0,-5,-6,1
376,20,20,0,-5,-5,0
377,20,20,0,-6,-5,-1
378,21,20,1,-6,-6,0
379,20,21,-1,-6,-6,0
380,20,20,0,-5,-6,1
381,20,20,0,-5,-5,0
382,20,20,0,-6,-5,-1
383,21,20,1,-6,-6,0
384,20,21,-1,-6,-6,0
385,20,20,0,-5,-6,1
386,20,20,0,-5,-5,0
387,20,20,0,-6,-5,-1
388,21,20,1,-6,-6,0
389,20,21,-1,-6,-6,0
390,20,20,0,-5,-6,1
391,20,20,0,-5,-5,0
392,20,20,0,-6,-5,-1
393,21,20,1,-6,-6,0
394,20,21,-1,-6,-6,0
395,20,20,0,-5,-6,1
396,20,20,0,-5,-5,0
397,20,20,0,-6,-5,-1
398,21,20,1,-6,-6,0
399,20,21,-1,-6,-6,0
400,20,20,0,-5,-6,1
401,20,20,0,-5,-5,0
402,20,20,0,-6,-5,-1
403,21,20,1,-6,-6,0
404,20,21,-1,-6,-6,0
405,20,20,0,-5,-6,1
406,20,20,0,-5,-5,0
407,20,20,0,-6,-5,-1
408,21,20,1,-6,-6,0
409,20,21,-1,-6,-6,0
410,20,20,0,-5,-6,1
411,20,20,0,-5,-5,0
412,20,20,0,-6,-5,-1
413,21,20,1,-6,-6,0
414,20,21,-1,-6,-6,0
415,20,20,0,-5,-6,1
416,20,20,0,-5,-5,0
417,20,20,0,-6,-5,-1
418,21,20,1,-6,-6,0
419,20,21,-1,-6,-6,0
420,20,20,0,-5,-6,1
421,20,20,0,-5,-5,0
422,20,20,0,-6,-5,-1
423,21,20,1,-6,-6,0
424,20,21,-1,-6,-6,0
425,20,20,0,-5,-6,1
426,20,20,0,-5,-5,0
427,20,20,0,-6,-5,-1
428,21,20,1,-6,-6,0
429,20,21,-1,-6,-6,0
430,20,20,0,-5,-6,1
431,20,20,0,-5,-5,0
432,20,20,0,-6,-5,-1
433,21,20,1,-6,-6,0
434,20,21,-1,-6,-6,0
435,20,20,0,-5,-6,1
436,20,20,0,-5,-5,0
437,20,20,0,-6,-5,-1
438,21,20,1,-6,-6,0
439,20,21,-1,-6,-6,0
440,20,20,0,-5,-6,1
441,20,20,0,-5,-5,0
442,20,20,0,-6,-5,-1
443,21,20,1,-6,-6,0
444,20,21,-1,-6,-6,0
445,20,20,0,-5,-6,1
446,20,20,0,-5,-5,0
447,20,20,0,-6,-5,-1
448,21,20,1,-6,-6,0
449,20,21,-1,-6,-6,0
450,20,20,0,-5,-6,1
451,20,20,0,-5,-5,0
452,20,20,0,-6,-5,-1
453,21,20,1,-6,-6,0
454,20,21,-1,-6,-6,0
455,20,20,0,-5,-6,1
456,20,20,0,-5,-5,0
457,20,20,0,-6,-5,-1
458,21,20,1,-6,-6,0
459,20,21,-1,-6,-6,0
460,20,20,0,-5,-6,1
461,20,20,0,-5,-5,0
462,20,20,0,-6,-5,-1
463,21,20,1,-6,-6,0
464,20,21,-1,-6,-6,0
465,20,20,0,-5,-6,1
466,20,20,0,-5,-5,0
467,20,20,0,-6,-5,-1
468,21,20,1,-6,-6,0
469,20,21,-1,-6,-6,0
470,20,20,0,-5,-6,1
471,20,20,0,-5,-5,0
472,20,20,0,-6,-5,-1
473,21,20,1,-6,-6,0
474,20,21,-1,-6,-6,0
475,20,20,0,-5,-6,1
476,20,20,0,-5,-5,0
477,20,20,0,-6,-5,-1
478,21,20,1,-6,-6,0
479,20,21,-1,-6,-6,0
480,20,20,0,-5,-6,1
481,20,20,0,-5,-5,0
482,20,20,0,-6,-5,-1
483,21,20,1,-6,-6,0
484,20,21,-1,-6,-6,0
485,20,20,0,-5,-6,1
486,20,20,0,-5,-5,0
487,20,20,0,-6,-5,-1
488,21,20,1,-6,-6,0
489,20,21,-1,-6,-6,0
490,20,20,0,-5,-6,1
491,20,20,0,-5,-5,0
492,20,20,0,-6,-5,-1
493,21,20,1,-6,-6,0
494,20,21,-1,-6,-6,0
495,20,20,0,-5,-6,1
496,20,20,0,-5,-5,0
497,20,20,0,-6,-5,-1
498,21,20,1,-6,-6,0
499,20,21,-1,-6,-6,0
500,20,20,0,-5,-6,1
501,20,20,0,-5,-5,0
502,20,20,0,-6,-5,-1
503,21,20,1,-6,-6,0
504,20,21,-1,-6,-6,0
505,20,20,0,-5,-6,1
506,20,20,0,-5,-5,0
507,20,20,0,-6,-5,-1
508,21,20,1,-6,-6,0
509,20,21,-1,-6,-6,0
510,20,20,0,-5,-6,1
511,20,20,0,-5,-5,0
512,20,20,0,-6,-5,-1
513,21,20,1,-6,-6,0
514,20,21,-1,-6,-6,0
515,20,20,0,-5,-6,1
516,20,20,0,-5,-5,0
517,20,20,0,-6,-5,-1
518,21,20,1,-6,-6,0
519,20,21,-1,-6,-6,0
520,20,20,0,-5,-6,1
521,20,20,0,-5,-5,0
522,20,20,0,-6,-5,-1
523,21,20,1,-6,-6,0
524,20,21,-1,-6,-6,0
525,20,20,0,-5,-6,1
526,20,20,0,-5,-5,0
527,20,20,0,-6,-5,-1
528,21,20,1,-6,-6,0
529,20,21,-1,-6,-6,0
530,20,20,0,-5,-6,1
531,20,20,0,-5,-5,0
532,20,20,0,-6,-5,-1
533,21,20,1,-6,-6,0
534,20,21,-1,-6,-6,0
535,20,20,0,-5,-6,1
536,20,20,0,-5,-5,0
537,20,20,0,-6,-5,-1
538,21,20,1,-6,-6,0
539,20,21,-1,-6,-6,0
540,20,20,0,-5,-6,1
541,20,20,0,-5,-5,0
542,20,20,0,-6,-5,-1
543,21,20,1,-6,-6,0
544,20,21,-1,-6,-6,0
545,20,20,0,-5,-6,1
546,20,20,0,-5,-5,0
547,20,20,0,-6,-5,-1
548,21,20,1,-6,-6,0
549,20,21,-1,-6,-6,0
550,20,20,0,-5,-6,1
551,20,20,0,-5,-5,0
552,20,20,0,-6,-5,-1
553,21,20,1,-6,-6,0
554,20,21,-1,-6,-6,0
555,20,20,0,-5,-6,1
556,20,20,0,-5,-5,0
557,20,20,0,-6,-5,-1
558,21,20,1,-6,-6,0
559,20,21,-1,-6,-6,0
560,20,20,0,-5,-6,1
561,20,20,0,-5,-5,0
562,20,20,0,-6,-5,-1
563,21,20,1,-6,-6,0
564,20,21,-1,-6,-6,0
565,20,20,0,-5,-6,1
566,20,20,0,-5,-5,0
567,20,20,0,-6,-5,-1
568,21,20,1,-6,-6,0
569,20,21,-1,-6,-6,0
570,20,20,0,-5,-6,1
571,20,20,0,-5,-5,0
572,20,20,0,-6,-5,-1
573,21,20,1,-6,-6,0
574,20,21,-1,-6,-6,0
575,20,20,0,-5,-6,1
576,20,20,0,-5,-5,0
577,20,20,0,-6,-5,-1
578,21,20,1,-6,-6,0
579,20,21,-1,-6,-6,0
580,20,20,0,-5,-6,1
581,20,20,0,-5,-5,0
582,20,20,0,-6,-5,-1
583,21,20,1,-6,-6,0
584,20,21,-1,-6,-6,0
585,20,20,0,-5,-6,1
586,20,20,0,-5,-5,0
587,20,20,0,-6,-5,-1
588,21,20,1,-6,-6,0
589,20,21,-1,-6,-6,0
590,20,20,0,-5,-6,1
591,20,20,0,-5,-5,0
592,20,20,0,-6,-5,-1
593,21,20,1,-6,-6,0
594,20,21,-1,-6,-6,0
595,20,20,0,-5,-6,1
596,20,20,0,-5,-5,0
597,20,20,0,-6,-5,-1
598,21,20,1,-6,-6,0
599,20,21,-1,-6,-6,0
600,20,20,0,-5,-6,1
601,20,20,0,-5,-5,0
602,20,20,0,-6,-5,-1
603,21,20,1,-6,-6,0
604,20,21,-1,-6,-6,0
605,20,20,0,-5,-6,1
606,20,20,0,-5,-5,0
607,20,20,0,-6,-5,-1
608,21,20,1,-6,-6,0
609,20,21,-1,-6,-6,0
610,20,20,0,-5,-6,1
611,20,20,0,-5,-5,0
612,20,20,0,-6,-5,-1
613,21,20,1,-6,-6,0
614,20,21,-1,-6,-6,0
615,20,20,0,-5,-6,1
616,20,20,0,-5,-5,0
617,20,20,0,-6,-5,-1
618,21,20,1,-6,-6,0
619,20,21,-1,-6,-6,0
620,20,20,0,-5,-6,1
621,20,20,0,-5,-5,0
622,20,20,0,-6,-5,-1
623,21,20,1,-6,-6,0
624,20,21,-1,-6,-6,0
625,20,20,0,-5,-6,1
626,20,20,0,-5,-5,0
627,20,20,0,-6,-5,-1
628,21,20,1,-6,-6,0
629,20,21,-1,-6,-6,0
630,20,20,0,-5,-6,1
631,20,20,0,-5,-5,0
632,20,20,0,-6,-5,-1
633,21,20,1,-6,-6,0
634,20,21,-1,-6,-6,0
635,20,20,0,-5,-6,1
636,20,20,0,-5,-5,0
637,20,20,0,-6,-5,-1
638,21,20,1,-6,-6,0
639,20,21,-1,-6,-6,0
640,20,20,0,-5,-6,1
641,20,20,0,-5,-5,0
642,20,20,0,-6,-5,-1
643,21,20,1,-6,-6,0
644,20,21,-1,-6,-6,0
645,20,20,0,-5,-6,1
646,20,20,0,-5,-5,0
647,20,20,0,-6,-5,-1
648,21,20,1,-6,-6,0
649,20,21,-1,-6,-6,0
650,20,20,0,-5,-6,1
651,20,20,0,-5,-5,0
652,20,20,0,-6,-5,-1
653,21,20,1,-6,-6,0
654,20,21,-1,-6,-6,0
655,20,20,0,-5,-6,1
656,20,20,0,-5,-5,0
657,20,20,0,-6,-5,-1
658,21,20,1,-6,-6,0
659,20,21,-1,-6,-6,0
660,20,20,0,-5,-6,1
661,20,20,0,-5,-5,0
662,20,20,0,-6,-5,-1
663,21,20,1,-6,-6,0
664,20,21,-1,-6,-6,0
665,20,20,0,-5,-6,1
666,20,20,0,-5,-5,0
667,20,20,0,-6,-5,-1
668,21,20,1,-6,-6,0
669,20,21,-1,-6,-6,0
670,20,20,0,-5,-6,1
671,20,20,0,-5,-5,0
672,20,20,0,-6,-5,-1
673,21,20,1,-6,-6,0
674,20,21,-1,-6,-6,0
675,20,20,0,-5,-6,1
676,20,20,0,-5,-5,0
677,20,20,0,-6,-5,-1
678,21,20,1,-6,-6,0
679,20,21,-1,-6,-6,0
680,20,20,0,-5,-6,1
681,20,20,0,-5,-5,0
682,20,20,0,-6,-5,-1
683,21,20,1,-6,-6,0
684,20,21,-1,-6,-6,0
685,20,20,0,-5,-6,1
686,20,20,0,-5,-5,0
687,20,20,0,-6,-5,-1
688,21,20,1,-6,-6,0
689,20,21,-1,-6,-6,0
690,20,20,0,-5,-6,1
691,20,20,0,-5,-5,0
692,20,20,0,-6,-5,-1
693,21,20,1,-6,-6,0
694,20,21,-1,-6,-6,0
695,20,20,0,-5,-6,1
696,20,20,0,-5,-5,0
697,20,20,0,-6,-5,-1
698,21,20,1,-6,-6,0
699,20,21,-1,-6,-6,0
700,20,20,0,-5,-6,1
701,20,20,0,-5,-5,0
702,20,20,0,-6,-5,-1
703,21,20,1,-6,-6,0
704,20,21,-1,-6,-6,0
705,20,20,0,-5,-6,1
706,20,20,0,-5,-5,0
707,20,20,0,-6,-5,-1
708,21,20,1,-6,-6,0
709,20,21,-1,-6,-6,0
710,20,20,0,-5,-6,1
711,20,20,0,-5,-5,0
712,20,20,0,-6,-5,-1
713,21,20,1,-6,-6,0
714,20,21,-1,-6,-6,0
715,20,20,0,-5,-6,1
716,20,20,0,-5,-5,0
717,20,20,0,-6,-5,-1
718,21,20,1,-6,-6,0
719,20,21,-1,-6,-6,0
720,20,20,0,-5,-6,1
721,20,20,0,-5,-5,0
722,20,20,0,-6,-5,-1
723,21,20,1,-6,-6,0
724,20,21,-1,-6,-6,0
725,20,20,0,-5,-6,1
726,20,20,0,-5,-5,0
727,20,20,0,-6,-5,-1
728,21,20,1,-6,-6,0
729,20,21,-1,-6,-6,0
730,20,20,0,-5,-6,1
731,20,20,0,-5,-5,0
732,20,20,0,-6,-5,-1
733,21,20,1,-6,-6,0
734,20,21,-1,-6,-6,0
735,20,20,0,-5,-6,1
736,20,20,0,-5,-5,0
737,20,20,0,-6,-5,-1
738,21,20,1,-6,-6,0
739,20,21,-1,-6,-6,0
740,20,20,0,-5,-6,1
741,20,20,0,-5,-5,0
742,20,20,0,-6,-5,-1
743,21,20,1,-6,-6,0
744,20,21,-1,-6,-6,0
745,20,20,0,-5,-6,1
746,20,20,0,-5,-5,0
747,20,20,0,-6,-5,-1
748,21,20,1,-6,-6,0
749,20,21,-1,-6,-6,0
750,20,20,0,-5,-6,1
751,20,20,0,-5,-5,0
752,20,20,0,-6,-5,-1
753,21,20,1,-6,-6,0
754,20,21,-1,-6,-6,0
755,20,20,0,-5,-6,1
756,20,20,0,-5,-5,0
757,20,20,0,-6,-5,-1
758,21,20,1,-6,-6,0
759,20,21,-1,-6,-6,0
760,20,20,0,-5,-6,1
761,20,20,0,-5,-5,0
762,20,20,0,-6,-5,-1
763,21,20,1,-6,-6,0
764,20,21,-1,-6,-6,0
765,20,20,0,-5,-6,1
766,20,20,0,-5,-5,0
767,20,20,0,-6,-5,-1
768,21,20,1,-6,-6,0
769,20,21,-1,-6,-6,0
770,20,20,0,-5,-6,1
771,20,20,0,-5,-5,0
772,20,20,0,-6,-5,-1
773,21,20,1,-6,-6,0
774,20,21,-1,-6,-6,0
775,20,20,0,-5,-6,1
776,20,20,0,-5,-5,0
777,20,20,0,-6,-5,-1
778,21,20,1,-6,-6,0
779,20,21,-1,-6,-6,0
780,20,20,0,-5,-6,1
781,20,20,0,-5,-5,0
782,20,20,0,-6,-5,-1
783,21,20,1,-6,-6,0
784,20,21,-1,-6,-6,0
785,20,20,0,-5,-6,1
786,20,20,0,-5,-5,0
787,20,20,0,-6,-5,-1
788,21,20,1,-6,-6,0
789,20,21,-1,-6,-6,0
790,20,20,0,-5,-6,1
791,20,20,0,-5,-5,0
792,20,20,0,-6,-5,-1
793,21,20,1,-6,-6,0
794,20,21,-1,-6,-6,0
795,20,20,0,-5,-6,1
796,20,20,0,-5,-5,0
797,20,20,0,-6,-5,-1
798,21,20,1,-6,-6,0
799,20,21,-1,-6,-6,0
800,20,20,0,-5,-6,1
801,20,20,0,-5,-5,0
802,20,20,0,-6,-5,-1
803,21,20,1,-6,-6,0
804,20,21,-1,-6,-6,0
805,20,20,0,-5,-6,1
806,20,20,0,-5,-5,0
807,20,20,0,-6,-5,-1
808,21,20,1,-6,-6,0
809,20,21,-1,-6,-6,0
810,20,20,0,-5,-6,1
811,20,20,0,-5,-5,0
812,20,20,0,-6,-5,-1
813,21,20,1,-6,-6,0
814,20,21,-1,-6,-6,0
815,20,20,0,-5,-6,1
816,20,20,0,-5,-5,0
817,20,20,0,-6,-5,-1
818,21,20,1,-6,-6,0
819,20,21,-1,-6,-6,0
820,20,20,0,-5,-6,1
821,20,20,0,-5,-5,0
822,20,20,0,-6,-5,-1
823,21,20,1,-6,-6,0
824,20,21,-1,-6,-6,0
825,20,20,0,-5,-6,1
826,20,20,0,-5,-5,0
827,20,20,0,-6,-5,-1
828,21,20,1,-6,-6,0
829,20,21,-1,-6,-6,0
830,20,20,0,-5,-6,1
831,20,20,0,-5,-5,0
832,20,20,0,-6,-5,-1
833,21,20,1,-6,-6,0
834,20,21,-1,-6,-6,0
835,20,20,0,-5,-6,1
836,20,20,0,-5,-5,0
837,20,20,0,-6,-5,-1
838,21,20,1,-6,-6,0
839,20,21,-1,-6,-6,0
840,20,20,0,-5,-6,1
841,20,20,0,-5,-5,0
842,20,20,0,-6,-5,-1
843,21,20,1,-6,-6,0
844,20,21,-1,-6,-6,0
845,20,20,0,-5,-6,1
846,20,20,0,-5,-5,0
847,20,20,0,-6,-5,-1
848,21,20,1,-6,-6,0
